                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     40,               0.049623,               0.046846,               0.033245,              0.0053764,                0.73085,                0.52075,                0.55309,                0.27578,                0.68151,                0.50079,                0.51172,                 0.2331,               0.041341,               0.043381,                0.02817,              0.0046397,                0.00883,                0.00883,                0.00883
                     41,               0.049693,               0.047451,               0.035149,              0.0054087,                0.79119,                0.53315,                 0.5931,                0.29223,                0.70467,                0.48423,                0.48847,                0.21214,               0.041845,                0.04338,               0.028192,                0.00476,                 0.0088,                 0.0088,                 0.0088
                     42,               0.048993,                0.04658,               0.032995,               0.005379,                0.76408,                0.53586,                 0.5942,                 0.2834,                0.72426,                0.49657,                0.51426,                0.24035,               0.040357,               0.042819,               0.027623,              0.0043954,                0.00877,                0.00877,                0.00877
                     43,               0.049308,               0.046782,               0.033575,              0.0053322,                0.81078,                0.53045,                0.59283,                0.29143,                0.72893,                0.47598,                0.48158,                0.21643,               0.040363,               0.043215,               0.027631,              0.0045839,                0.00874,                0.00874,                0.00874
                     44,               0.049362,               0.046397,                0.03372,              0.0052041,                0.81051,                 0.5095,                0.57838,                0.29252,                0.73992,                0.46511,                0.49058,                0.22125,               0.040213,                 0.0421,               0.027815,              0.0045113,                0.00871,                0.00871,                0.00871
                     45,               0.048873,               0.045816,               0.032741,              0.0052867,                 0.7548,                0.53556,                0.58471,                 0.3016,                0.73328,                0.48905,                0.50519,                 0.2344,               0.039848,               0.042672,               0.027429,               0.004658,                0.00868,                0.00868,                0.00868
                     46,               0.048898,               0.045778,               0.033239,               0.005223,                0.80715,                 0.5355,                0.60193,                0.29549,                0.75696,                0.49433,                0.52472,                0.24819,               0.040269,               0.041955,               0.027258,              0.0042431,                0.00865,                0.00865,                0.00865
                     47,               0.048518,               0.045938,               0.032758,               0.005137,                0.68691,                0.58593,                0.59544,                0.28982,                0.68716,                0.55198,                0.54214,                0.25651,               0.039458,               0.042241,               0.027269,              0.0047101,                0.00862,                0.00862,                0.00862
                     48,               0.048539,               0.045668,               0.033633,              0.0050766,                0.75042,                0.55485,                0.61679,                0.30972,                0.73627,                0.48407,                0.52084,                0.24345,               0.039478,               0.042347,               0.027307,              0.0043504,                0.00859,                0.00859,                0.00859
                     49,               0.047696,               0.045694,               0.032196,              0.0050553,                0.84002,                0.53605,                0.61132,                 0.3163,                0.78149,                0.50005,                0.52676,                0.23244,               0.039528,               0.041697,               0.027327,              0.0043548,                0.00856,                0.00856,                0.00856
                     50,               0.047571,               0.045309,               0.032337,              0.0048519,                0.74458,                0.57346,                0.62436,                0.30636,                0.78338,                0.49247,                 0.5244,                0.22478,               0.039526,               0.041139,               0.027126,              0.0042566,                0.00853,                0.00853,                0.00853
                     51,               0.048339,               0.045787,               0.033052,              0.0050072,                0.85065,                0.52975,                0.61691,                0.31023,                0.74048,                0.48128,                0.48821,                0.21583,               0.039774,               0.041608,               0.027397,              0.0042356,                 0.0085,                 0.0085,                 0.0085
                     52,               0.048103,               0.045351,               0.032634,              0.0049884,                 0.8038,                0.52711,                0.59435,                0.29747,                0.78899,                0.50182,                0.54549,                0.24825,               0.039258,               0.041303,               0.026987,              0.0043762,                0.00847,                0.00847,                0.00847
                     53,               0.047732,               0.044829,               0.032045,               0.005092,                0.79545,                  0.553,                0.62106,                0.30882,                0.72658,                0.48373,                0.50263,                0.22448,               0.039329,               0.041184,               0.027191,              0.0043586,                0.00844,                0.00844,                0.00844
                     54,               0.047521,               0.044791,               0.032647,               0.004816,                0.79076,                0.56439,                0.63085,                0.32289,                0.72033,                0.49203,                0.50263,                0.22871,               0.039009,               0.040691,               0.026858,              0.0040505,                0.00841,                0.00841,                0.00841
                     55,               0.047505,               0.045123,               0.032658,              0.0047809,                 0.8441,                 0.5381,                0.63156,                0.33183,                0.79019,                0.50873,                0.53813,                0.23914,               0.038571,               0.040784,               0.026592,              0.0038139,                0.00838,                0.00838,                0.00838
