                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     34,               0.040152,                0.03987,               0.029246,              0.0042483,                0.85549,                0.58501,                0.66751,                0.36899,                0.72536,                0.51758,                0.51797,                0.23836,               0.033676,               0.037779,                0.02532,              0.0034501,                0.00901,                0.00901,                0.00901
                     35,               0.040176,               0.040591,               0.029427,              0.0043096,                0.86091,                0.56878,                0.64818,                0.35463,                 0.8403,                0.55444,                 0.6025,                0.27439,               0.033485,               0.037869,               0.025337,              0.0034716,                0.00898,                0.00898,                0.00898
                     36,               0.040023,               0.039797,               0.029543,              0.0040964,                0.72633,                0.63958,                0.67343,                0.36521,                0.81323,                0.56007,                0.59523,                0.28204,               0.033394,               0.037678,               0.025019,              0.0034971,                0.00895,                0.00895,                0.00895
                     37,               0.039651,               0.039628,               0.029472,              0.0041697,                0.77455,                   0.62,                0.66769,                0.36638,                0.67418,                0.55901,                0.57929,                0.27364,               0.033403,               0.037686,               0.025263,              0.0032732,                0.00892,                0.00892,                0.00892
                     38,               0.039718,               0.039813,               0.029218,              0.0042343,                0.74278,                0.62844,                0.67975,                0.37833,                0.71592,                0.56765,                0.59411,                0.27387,               0.032933,               0.037361,               0.024784,              0.0033811,                0.00889,                0.00889,                0.00889
                     39,               0.039673,               0.039244,               0.029717,               0.004152,                0.79202,                 0.6409,                0.69588,                0.38343,                 0.6359,                0.55252,                0.58182,                0.27387,               0.032716,               0.036795,               0.024734,              0.0032604,                0.00886,                0.00886,                0.00886
                     40,               0.038982,               0.039486,               0.029144,              0.0039583,                0.77747,                0.64168,                0.68357,                0.37211,                0.61662,                0.56857,                0.57914,                0.27175,               0.032608,               0.037098,               0.024528,              0.0032283,                0.00883,                0.00883,                0.00883
                     41,               0.038639,               0.038805,               0.028505,               0.004027,                0.74259,                0.64217,                0.68238,                0.37828,                0.64316,                0.53601,                0.56959,                0.27005,               0.032316,                 0.0369,               0.024611,              0.0031355,                 0.0088,                 0.0088,                 0.0088
                     42,               0.038088,               0.037782,               0.028115,              0.0038023,                0.74488,                0.63274,                0.68798,                0.37254,                0.65969,                0.56758,                0.59426,                0.27827,               0.032449,               0.036568,                0.02449,              0.0030898,                0.00877,                0.00877,                0.00877
                     43,               0.038406,               0.038751,               0.028879,              0.0038704,                0.80074,                0.63887,                 0.6973,                 0.3861,                0.64769,                 0.5755,                0.58942,                0.27731,               0.032247,               0.036551,               0.024592,              0.0030779,                0.00874,                0.00874,                0.00874
                     44,               0.038439,               0.038021,               0.028534,              0.0038422,                 0.7623,                0.63194,                0.69499,                0.38456,                 0.6038,                0.52928,                 0.5542,                0.25583,               0.032546,               0.036468,               0.024648,              0.0031726,                0.00871,                0.00871,                0.00871
                     45,               0.038356,               0.038421,               0.028433,              0.0037793,                0.72032,                0.63749,                0.69388,                 0.3827,                0.65403,                0.55974,                0.59496,                0.27587,               0.032088,               0.036196,               0.024742,              0.0030183,                0.00868,                0.00868,                0.00868
                     46,               0.037648,               0.037807,               0.028308,              0.0036258,                0.78673,                0.65331,                0.70822,                0.39009,                0.59841,                0.56986,                0.58581,                0.28233,               0.032129,               0.035982,               0.024393,              0.0029512,                0.00865,                0.00865,                0.00865
                     47,               0.037241,               0.037375,               0.028079,              0.0035884,                0.77678,                0.64028,                    0.7,                0.38328,                0.62954,                0.60197,                0.60335,                0.28105,               0.031816,                 0.0363,               0.024191,               0.002932,                0.00862,                0.00862,                0.00862
                     48,               0.036588,               0.037621,                  0.028,              0.0035678,                0.70268,                0.68857,                0.70036,                 0.3978,                0.58813,                0.63149,                0.58986,                 0.2828,               0.031763,               0.036393,               0.024418,              0.0029527,                0.00859,                0.00859,                0.00859
                     49,               0.036885,               0.037569,               0.027985,              0.0035669,                0.68983,                0.65244,                 0.6866,                0.39783,                0.64468,                0.53868,                0.57171,                0.26664,               0.031549,               0.036002,               0.024168,              0.0029348,                0.00856,                0.00856,                0.00856
                     50,               0.037377,               0.037808,                0.02864,              0.0036665,                0.81156,                0.67821,                0.73286,                0.41221,                0.65703,                0.60006,                0.57713,                0.25832,               0.031492,               0.035802,               0.024133,              0.0028144,                0.00853,                0.00853,                0.00853
                     51,               0.037216,               0.037068,               0.027434,              0.0036404,                0.77666,                0.67966,                0.71088,                0.40134,                0.60259,                0.59477,                0.56831,                0.26632,               0.031441,               0.036428,               0.024326,              0.0028684,                 0.0085,                 0.0085,                 0.0085
                     52,               0.036837,                0.03765,               0.027582,              0.0036157,                0.73149,                0.68448,                0.70089,                0.38371,                0.62688,                0.58752,                0.55758,                0.25455,               0.031502,               0.035905,               0.024032,              0.0028204,                0.00847,                0.00847,                0.00847
                     53,               0.036579,               0.037312,               0.027599,              0.0036139,                0.79485,                0.67121,                0.71782,                0.40919,                 0.6706,                0.60563,                0.60907,                 0.2851,               0.031009,               0.035318,               0.023991,              0.0027151,                0.00844,                0.00844,                0.00844
                     54,               0.036354,               0.037234,               0.027599,              0.0035176,                0.76671,                0.68919,                0.71398,                0.39813,                0.67676,                0.62931,                 0.6149,                0.28091,               0.031306,               0.035641,               0.024022,              0.0027457,                0.00841,                0.00841,                0.00841
                     55,               0.036239,               0.036579,                0.02677,              0.0033817,                0.76151,                0.69464,                0.72144,                0.41291,                0.66178,                0.60861,                0.60336,                0.29079,               0.031118,               0.035737,               0.024079,              0.0026864,                0.00838,                0.00838,                0.00838
                     56,               0.036203,               0.036656,               0.027475,              0.0034137,                0.74988,                0.69436,                0.72563,                0.40681,                0.62253,                0.61247,                0.57995,                0.27066,               0.030745,               0.035077,               0.023715,              0.0027256,                0.00835,                0.00835,                0.00835
                     57,               0.036205,               0.036378,               0.026864,              0.0033747,                 0.7898,                0.68231,                0.72774,                 0.4128,                0.62361,                0.61274,                0.58181,                 0.2592,               0.030766,               0.035419,               0.023872,              0.0026747,                0.00832,                0.00832,                0.00832
                     58,               0.035915,               0.036335,               0.026993,              0.0034849,                0.77843,                0.70419,                0.73596,                0.41301,                0.60444,                0.60489,                0.55843,                0.25861,               0.030907,                0.03566,                 0.0239,              0.0027624,                0.00829,                0.00829,                0.00829
                     59,               0.035647,               0.036169,               0.027246,              0.0033149,                0.84861,                0.66508,                0.73276,                0.41026,                0.74417,                0.59275,                0.62934,                0.30706,               0.030868,               0.035295,                 0.0237,              0.0027516,                0.00826,                0.00826,                0.00826
                     60,               0.035417,               0.036006,               0.027203,              0.0033099,                0.78837,                0.70006,                0.72722,                0.41513,                 0.6728,                 0.6251,                0.60799,                0.29405,               0.030781,                0.03478,                0.02359,              0.0026241,                0.00823,                0.00823,                0.00823
                     61,               0.035136,               0.035647,               0.026933,               0.003216,                0.81499,                0.69659,                0.74609,                0.41677,                0.71544,                0.61573,                0.62726,                0.30563,               0.030509,               0.034762,               0.023588,              0.0025674,                 0.0082,                 0.0082,                 0.0082
                     62,               0.035287,                0.03593,               0.026988,              0.0033649,                0.81514,                 0.6962,                0.73639,                0.42062,                 0.7135,                0.63108,                0.63277,                0.30802,               0.030324,               0.034891,               0.023356,              0.0025975,                0.00817,                0.00817,                0.00817
                     63,               0.035351,                0.03642,               0.026915,              0.0032557,                0.82437,                0.70512,                0.74227,                0.43141,                0.74935,                0.63243,                 0.6419,                0.30662,               0.030375,               0.034645,               0.023533,              0.0025387,                0.00814,                0.00814,                0.00814
                     64,               0.035237,               0.035858,               0.027228,              0.0032165,                0.76576,                0.71399,                0.73431,                0.41866,                0.66851,                0.63306,                0.62199,                0.29101,               0.030217,               0.034798,                0.02352,              0.0025777,                0.00811,                0.00811,                0.00811
                     65,               0.034811,                0.03555,               0.026409,              0.0031613,                0.80056,                0.69792,                0.74556,                0.42869,                0.69571,                 0.6331,                0.63624,                0.30397,               0.029942,               0.034676,               0.023406,              0.0026938,                0.00808,                0.00808,                0.00808
                     66,               0.034313,               0.035191,               0.026398,              0.0031534,                0.78439,                0.71646,                0.74523,                0.42705,                0.71753,                0.65675,                0.65806,                0.31584,               0.029972,               0.034679,               0.023385,              0.0025485,                0.00805,                0.00805,                0.00805
                     67,               0.034414,                0.03554,                0.02641,              0.0030642,                0.81214,                0.71104,                0.74424,                0.43228,                0.71632,                0.63383,                 0.6317,                0.29977,               0.030031,               0.034927,               0.023327,              0.0025369,                0.00802,                0.00802,                0.00802
                     68,               0.034761,               0.035163,               0.026416,              0.0031415,                0.81947,                0.70694,                0.74026,                0.42307,                0.70797,                0.62875,                0.63122,                0.30868,               0.030029,               0.034556,               0.023312,              0.0025376,                0.00799,                0.00799,                0.00799
                     69,               0.034359,               0.035238,               0.026704,               0.003179,                0.80681,                0.70464,                0.74686,                0.42324,                0.64229,                0.58684,                 0.5757,                0.27409,                0.02974,               0.034095,               0.023293,              0.0024969,                0.00796,                0.00796,                0.00796
                     70,               0.034483,               0.035241,                0.02642,              0.0031556,                0.77687,                  0.712,                0.74308,                0.43661,                0.68355,                0.63753,                0.63025,                0.29699,               0.029658,               0.033962,               0.023041,              0.0025019,                0.00793,                0.00793,                0.00793
                     71,               0.033925,               0.035242,               0.026187,               0.003048,                0.81233,                0.69847,                0.74485,                0.43988,                0.72531,                 0.6151,                 0.6449,                0.31305,               0.029734,                0.03398,               0.023188,              0.0023818,                 0.0079,                 0.0079,                 0.0079
                     72,               0.034183,                 0.0354,               0.026672,              0.0030876,                0.80231,                0.71645,                0.74697,                0.43978,                0.76022,                0.62618,                 0.6551,                0.30095,               0.029434,                0.03407,               0.023063,              0.0025128,                0.00787,                0.00787,                0.00787
                     73,               0.034373,               0.035349,               0.026695,              0.0030968,                0.81753,                0.71799,                0.76495,                0.44568,                0.65316,                0.63257,                0.61607,                 0.2922,               0.029473,                0.03397,                0.02312,              0.0023993,                0.00784,                0.00784,                0.00784
                     74,                0.03397,               0.034411,               0.026155,              0.0029485,                0.82726,                0.71067,                0.76427,                0.45289,                0.69227,                0.62762,                0.62341,                 0.2934,               0.029364,               0.033852,               0.022922,              0.0024783,                0.00781,                0.00781,                0.00781
                     75,               0.034112,               0.035172,               0.026285,              0.0031207,                0.82549,                0.70484,                0.75803,                0.45206,                0.65995,                0.64412,                0.61611,                0.29697,               0.029353,               0.033954,               0.023082,              0.0024377,                0.00778,                0.00778,                0.00778
                     76,               0.034134,               0.034869,               0.026066,              0.0030154,                0.79458,                0.71033,                0.75629,                0.44026,                0.73874,                0.65117,                0.68175,                 0.3231,               0.029605,               0.033907,               0.023171,              0.0023662,                0.00775,                0.00775,                0.00775
                     77,               0.033511,               0.034653,                0.02601,              0.0029538,                0.81793,                0.71338,                0.76103,                0.43572,                0.69506,                0.62855,                0.61658,                0.30164,                0.02933,                0.03382,               0.022948,              0.0023496,                0.00772,                0.00772,                0.00772
                     78,               0.033179,               0.034251,               0.026178,              0.0029393,                0.80624,                0.71484,                0.75375,                0.44892,                0.74449,                0.64116,                0.65411,                0.30269,               0.029213,                0.03417,               0.022835,              0.0023912,                0.00769,                0.00769,                0.00769
                     79,               0.033261,               0.034161,               0.025948,              0.0029148,                0.79842,                0.72897,                0.75248,                 0.4509,                0.69588,                0.65149,                0.64857,                0.31857,               0.029297,               0.033595,               0.022834,               0.002391,                0.00766,                0.00766,                0.00766
                     80,               0.033385,               0.034243,               0.025647,               0.002958,                0.83757,                0.71275,                 0.7603,                0.45174,                0.74368,                0.62955,                0.64246,                0.30239,               0.029043,               0.033801,               0.022689,              0.0022974,                0.00763,                0.00763,                0.00763
                     81,                0.03316,               0.034287,                0.02546,              0.0028721,                0.82396,                0.71906,                0.75893,                0.45496,                 0.7129,                0.64222,                0.63734,                 0.3021,               0.028929,               0.033505,               0.022813,              0.0024649,                 0.0076,                 0.0076,                 0.0076
                     82,               0.033419,               0.034502,                0.02607,              0.0029596,                0.80634,                0.71765,                0.74386,                0.44997,                0.71548,                0.66838,                0.65994,                0.31535,                0.02901,               0.033426,               0.022745,              0.0023818,                0.00757,                0.00757,                0.00757
                     83,               0.033234,               0.033889,               0.025305,              0.0029661,                0.83516,                0.70297,                0.75578,                0.45442,                0.71536,                0.66542,                0.66959,                0.31759,               0.028901,                0.03318,                0.02273,              0.0023698,                0.00754,                0.00754,                0.00754
                     84,               0.032855,               0.034013,               0.025733,              0.0028989,                0.83011,                0.71339,                 0.7679,                0.45597,                0.68152,                0.65909,                 0.6346,                0.30277,               0.029064,               0.033391,                0.02274,              0.0022811,                0.00751,                0.00751,                0.00751
                     85,               0.032798,                0.03372,               0.025524,              0.0028927,                 0.8078,                0.73207,                0.76406,                0.45769,                0.70757,                0.65071,                  0.651,                0.30963,               0.028795,               0.033301,               0.022634,              0.0023376,                0.00748,                0.00748,                0.00748
                     86,               0.032887,               0.033533,               0.025199,              0.0027997,                0.84556,                0.71276,                0.75722,                0.44731,                0.76558,                0.63886,                0.66843,                0.31451,                0.02888,               0.033136,               0.022655,              0.0022782,                0.00745,                0.00745,                0.00745
                     87,               0.032874,                0.03405,               0.025736,              0.0027586,                0.82899,                0.71347,                0.76465,                0.46062,                0.73942,                0.64588,                0.67344,                0.32553,               0.028655,               0.033066,               0.022609,              0.0022859,                0.00742,                0.00742,                0.00742
                     88,               0.032391,               0.033907,               0.025779,               0.002818,                0.81147,                0.71296,                0.75918,                0.45596,                0.71742,                0.65602,                0.66024,                 0.3073,               0.028617,               0.033022,               0.022649,              0.0023905,                0.00739,                0.00739,                0.00739
                     89,               0.032386,               0.033535,                0.02524,              0.0029006,                0.84139,                0.72129,                 0.7641,                 0.4526,                0.76782,                0.66745,                0.69225,                0.32669,               0.028539,               0.032941,               0.022563,              0.0022629,                0.00736,                0.00736,                0.00736
                     90,               0.032156,               0.033735,                0.02491,               0.002784,                 0.8255,                0.72947,                0.77635,                0.46113,                0.73276,                0.65469,                0.67358,                0.32604,               0.028459,               0.033063,               0.022563,              0.0023489,                0.00733,                0.00733,                0.00733
