                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     37,               0.031486,               0.030286,               0.023949,              0.0028225,                0.85924,                0.74587,                0.80156,                0.49216,                 0.8227,                0.73024,                0.76179,                0.37217,               0.027163,               0.030536,               0.021597,              0.0025598,                0.00892,                0.00892,                0.00892
                     38,                0.03084,               0.030399,               0.023831,              0.0027271,                0.83567,                0.75895,                0.78905,                0.46932,                0.81446,                0.73364,                0.74267,                0.34643,               0.026965,               0.030716,               0.021535,              0.0023791,                0.00889,                0.00889,                0.00889
                     39,                 0.0313,               0.030322,               0.023518,              0.0026966,                0.83789,                0.71999,                0.78401,                0.48612,                0.72166,                 0.7326,                0.71905,                0.33686,               0.026545,               0.030443,               0.021471,              0.0023414,                0.00886,                0.00886,                0.00886
                     40,               0.030593,               0.029993,                0.02363,              0.0026951,                 0.8269,                0.77216,                0.79261,                0.48689,                0.76774,                0.73359,                0.72681,                0.35137,               0.026665,               0.030713,               0.021332,              0.0023452,                0.00883,                0.00883,                0.00883
                     41,               0.030575,               0.030274,               0.023402,              0.0026247,                0.82461,                0.79094,                0.80889,                0.49536,                0.75917,                0.71878,                0.71378,                0.34578,               0.026551,               0.030501,               0.021328,              0.0022662,                 0.0088,                 0.0088,                 0.0088
                     42,               0.030284,                0.03014,               0.023562,              0.0027349,                0.84483,                0.76831,                0.79767,                0.49461,                 0.8061,                0.72642,                0.74773,                0.35644,               0.026248,               0.030006,               0.021252,              0.0022964,                0.00877,                0.00877,                0.00877
                     43,               0.029826,               0.030002,               0.023043,              0.0025839,                0.83611,                0.76104,                 0.7888,                0.49531,                0.79202,                0.72236,                0.72756,                0.34753,               0.026423,               0.030311,               0.021215,              0.0022555,                0.00874,                0.00874,                0.00874
                     44,               0.030209,               0.029995,               0.022878,              0.0025992,                0.84977,                0.74947,                 0.8097,                 0.4974,                0.77028,                0.70938,                0.71825,                0.33981,               0.026369,               0.029919,               0.021359,              0.0023164,                0.00871,                0.00871,                0.00871
                     45,               0.030128,               0.030266,               0.022988,              0.0026588,                0.82151,                0.75152,                0.79966,                0.47916,                0.75058,                0.72999,                0.72842,                0.36655,               0.026206,                0.03005,               0.021275,              0.0023449,                0.00868,                0.00868,                0.00868
                     46,               0.029976,               0.029745,               0.023285,              0.0025893,                0.80973,                0.78495,                 0.8088,                0.48485,                0.79654,                0.76373,                0.77301,                0.39492,               0.026225,               0.030191,               0.021164,               0.002209,                0.00865,                0.00865,                0.00865
